n,seconds
970,0.0222058450
971,0.0224815830
972,0.0223068080
973,0.0221376970
974,0.0221252950
975,0.0232741660
976,0.0236095180
977,0.0225763010
978,0.0225437710
979,0.0227844540
980,0.0232888370
981,0.0249708970
982,0.0278342070
983,0.0232936930
984,0.0233959300
985,0.0232400450
986,0.0249168780
987,0.0231609400
988,0.0235977360
989,0.0255741440
990,0.0324849660
991,0.0234751470
992,0.0243097400
993,0.0232223360
994,0.0235225380
995,0.0234811920
996,0.0241943740
997,0.0237053050
998,0.0236289500
999,0.0237617350
1000,0.0238182930
1001,0.0239069430
1002,0.0238946700
1003,0.0237639030
1004,0.0237313180
1005,0.0252944150
1006,0.0363509940
1007,0.0239662160
1008,0.0243507020
1009,0.0247493480
1010,0.0241637760
1011,0.0241664020
1012,0.0245790030
1013,0.0296249560
1014,0.0242270840
1015,0.0248294150
1016,0.0248484190
1017,0.0242632420
1018,0.0245564160
1019,0.0244651620
1020,0.0273074540
1021,0.0261006150
1022,0.0269468030
1023,0.0264427960
1024,0.0276704570
1025,0.0257728420
1026,0.0257383820
1027,0.0259165900
1028,0.0257965130
1029,0.0248579160
1030,0.0257496140
1031,0.0257578190
1032,0.0252280860
1033,0.0252732050
1034,0.0257439910
1035,0.0254475750
1036,0.0436500410
1037,0.0253626870
1038,0.0254759650
1039,0.0253474920
1040,0.0254734130
1041,0.0253739560
1042,0.0271581710
1043,0.0270623820
1044,0.0260551660
1045,0.0261265560
1046,0.0263910660
1047,0.0345276720
1048,0.0258684230
1049,0.0260138390
1050,0.0260214240
1051,0.0259223230
1052,0.0280130220
1053,0.0261948860
1054,0.0262839360
1055,0.0268546240
1056,0.0263124680
1057,0.0298270770
1058,0.0267658440
1059,0.0295883520
1060,0.0272703550
1061,0.0336286840
1062,0.0268999390
1063,0.0271078020
1064,0.0279593750
1065,0.0265773260
1066,0.0301365440
1067,0.0272459870
1068,0.0301082230
1069,0.0267648890
1070,0.0280750880
1071,0.0271672730
1072,0.0271386430
1073,0.0271727170
1074,0.0273204370
1075,0.0273885470
1076,0.0272859220
1077,0.0290386230
1078,0.0271741410
1079,0.0304329920
1080,0.0275018090
1081,0.0285577900
1082,0.0367168720
1083,0.0280731540
1084,0.0282222400
1085,0.0278660960
1086,0.0277688690
1087,0.0287379360
1088,0.0277072530
1089,0.0280559280
1090,0.0278043550
1091,0.0310081510
1092,0.0288811310
1093,0.0308840360
1094,0.0315667280
1095,0.0297190470
1096,0.0304632280
1097,0.0296377610
1098,0.0294883770
1099,0.0290339790
1100,0.0291375440
1101,0.0294144990
1102,0.0286398070
1103,0.0288948180
1104,0.0297053360
1105,0.0288863540
1106,0.0288556580
1107,0.0284720720
1108,0.0293307730
1109,0.0314413110
1110,0.0298344560
1111,0.0321937200
1112,0.0412805590
1113,0.0299007870
1114,0.0324722230
1115,0.0309012080
1116,0.0296716380
1117,0.0302389170
1118,0.0325263830
1119,0.0293963760
1120,0.0313838440
1121,0.0295813480
1122,0.0301160520
1123,0.0300369780
1124,0.0320065900
1125,0.0299221410
1126,0.0311023480
1127,0.0478521530
1128,0.0312278900
1129,0.0306046310
1130,0.0307229770
1131,0.0308001730
1132,0.0310733420
1133,0.0310211040
1134,0.0320284880
1135,0.0319618560
1136,0.0305626460
1137,0.0310392890
1138,0.0310658120
1139,0.0310677380
1140,0.0337692810
1141,0.0305048480
1142,0.0323647180
1143,0.0335764560
1144,0.0316928430
1145,0.0314130090
1146,0.0400834450
1147,0.0310451920
1148,0.0313815040
1149,0.0311747440
1150,0.0316032760
1151,0.0323169990
1152,0.0316346150
1153,0.0312215700
1154,0.0322951910
1155,0.0311994200
1156,0.0316121220
1157,0.0316872280
1158,0.0469361270
1159,0.0334826350
1160,0.0321034860
1161,0.0331419620
1162,0.0323933730
1163,0.0324479350
1164,0.0348743170
1165,0.0321790910
1166,0.0331951410
1167,0.0320871760
1168,0.0321283220
1169,0.0324134090
1170,0.0325875810
1171,0.0319986900
1172,0.0337076330
1173,0.0337767400
1174,0.0330114430
1175,0.0332726340
1176,0.0327268790
1177,0.0326017340
1178,0.0328648890
1179,0.0332694230
1180,0.0335683340
1181,0.0340438320
1182,0.0327762440
1183,0.0326922410
1184,0.0351891360
1185,0.0335136550
1186,0.0338497410
1187,0.0334869780
1188,0.0345400520
1189,0.0366539580
1190,0.0339249270
1191,0.0336994210
1192,0.0344769580
1193,0.0338206260
1194,0.0340961480
1195,0.0353549330
1196,0.0349516450
1197,0.0338846020
1198,0.0342812750
1199,0.0339208680
1200,0.0341793410
1201,0.0353271920
1202,0.0348991420
1203,0.0351680810
1204,0.0344095050
1205,0.0345336220
1206,0.0342763010
1207,0.0384534210
1208,0.0347995890
1209,0.0355335060
1210,0.0346825290
1211,0.0347123930
1212,0.0364646170
1213,0.0351530340
1214,0.0355260950
